Date,Last Crawling,SKU Name,Product Name,Url Product,Seller,Merchant,Stock,Item Condition,Filter,Flag,Bottom Price,Original Price,Discount,Selling Price,Discrepancy,Sales Quantity,Sales Revenue
10/22/2022,10/22/2022,TL WR840N,TP-Link TL-WR840N 2 Antenna 300Mbps Wireless N Router,https://tokopedia.com/ccplace/tp-link-tl-wr840n-2-antenna-300mbps-wireless-n-router,ccplace shop,tokopedia,In Stock,baru,Above,Please Check,155000,231000,0,231000,0.0149032258064516,0,0
10/22/2022,10/22/2022,TL WR840N,Promo TP-LINK TL-WR840N Wireless Router 300Mbps Diskon,https://tokopedia.com/gilsaashopp/promo-tp-link-tl-wr840n-wireless-router-300mbps-diskon,gilsaa_shopp,tokopedia,In Stock,baru,Above,Please Check,155000,218800,0,218800,0.014116129032258,0,0
10/22/2022,10/22/2022,TL WR840N,Tp-Link TL-WR840N 300Mbps Wireless N Speed Router WiFi 840 840n wr840,https://tokopedia.com/ccwinta/tp-link-tl-wr840n-300mbps-wireless-n-speed-router-wifi-840-840n-wr840,ccwinta shop,tokopedia,In Stock,baru,Above,Please Check,155000,227000,0,227000,0.0146451612903225,0,0
10/22/2022,10/22/2022,TL WR840N,JARINGAN TP-LINK TL-WR 840N TL-WR840N 300MBps Wireless Router 2,https://tokopedia.com/belsa/jaringan-tp-link-tl-wr-840n-tl-wr840n-300mbps-wireless-router-2,BELSA_SHOP,tokopedia,In Stock,baru,Above,Please Check,155000,263000,0,263000,0.0169677419354838,0,0
10/22/2022,10/22/2022,TL WR840N,TPLink TL-WR840N Router Wireless WiFi 300Mbps 2 Antena TP-LINK WR840N,https://tokopedia.com/ccwinta/tplink-tl-wr840n-router-wireless-wifi-300mbps-2-antena-tp-link-wr840n,ccwinta shop,tokopedia,In Stock,baru,Above,Please Check,155000,236000,0,236000,0.0152258064516129,0,0
10/22/2022,10/22/2022,TL WR840N,TP-Link TL-WR840N Antenna 300Mbps Wireless N Promo,https://tokopedia.com/garwitastore-i/tp-link-tl-wr840n-antenna-300mbps-wireless-n-promo,Garwitastore-id,tokopedia,In Stock,baru,Above,Please Check,155000,236000,0,236000,0.0152258064516129,0,0
10/22/2022,10/22/2022,TL WR840N,Tp-link WR840N / tl-wr840n,https://tokopedia.com/ccplace/tp-link-wr840n-tl-wr840n,ccplace shop,tokopedia,In Stock,baru,Above,Please Check,155000,239000,0,239000,0.0154193548387096,0,0
10/22/2022,10/22/2022,TL WR840N,Tp-Link Tl-Wr840N : 300Mbps Tplink Wifi Wireless N Router Wr840,https://tokopedia.com/nugrahaabadi123/tp-link-tl-wr840n-300mbps-tplink-wifi-wireless-n-router-wr840,nugraha abadi123,tokopedia,In Stock,baru,Above,Please Check,155000,267000,0,267000,0.0172258064516129,0,0
10/22/2022,10/22/2022,TL WR840N,READY STOK TP-LINK ROUTER TL-WR820N/TL-WR844N/TL-WR840N 300N TERBAIK - TL-WR8420N,https://tokopedia.com/brantaofficial/ready-stok-tp-link-router-tl-wr820n-tl-wr844n-tl-wr840n-300n-terbaik-tl-wr8420n,Branta Official,tokopedia,In Stock,baru,Above,Please Check,155000,241500,0,241500,0.0155806451612903,0,0
10/22/2022,10/22/2022,TL WR840N,TPLink TL-WR840N Router Wireless WiFi 300Mbps 2 Antena TP-LINK WR840N,https://tokopedia.com/fatah-2/tplink-tl-wr840n-router-wireless-wifi-300mbps-2-antena-tp-link-wr840n,STORE_FATAH,tokopedia,In Stock,baru,Above,Please Check,155000,231000,0,231000,0.0149032258064516,0,0
10/22/2022,10/22/2022,TL WR840N,XR353 TP-LINK WiFi Wireless Router 300Mbps - TL-WR840N,https://tokopedia.com/distronetra/xr353-tp-link-wifi-wireless-router-300mbps-tl-wr840n,distro netra,tokopedia,In Stock,baru,Above,Please Check,155000,307000,0,307000,0.0198064516129032,0,0
10/22/2022,10/22/2022,TL WR840N,SALE TERBATAS TP-LINK TL-WR840N 300Mbps Wireless Router TP LINK,https://tokopedia.com/brantaofficial/sale-terbatas-tp-link-tl-wr840n-300mbps-wireless-router-tp-link,Branta Official,tokopedia,In Stock,baru,Above,Please Check,155000,248000,0,248000,0.016,0,0
10/22/2022,10/22/2022,TL WR840N,Gt Tp-Link Tl-Wr840N,https://tokopedia.com/madridismoid/gt-tp-link-tl-wr840n,madridismoid,tokopedia,In Stock,baru,Above,Please Check,155000,239000,0,239000,0.0154193548387096,0,0
10/22/2022,10/22/2022,TL WR840N,ROUTER WIRELESS TP-LINK TL-WR840N 300MBPS WIFI 4 PORT 1 WAN MURAH,https://tokopedia.com/ccwinta/router-wireless-tp-link-tl-wr840n-300mbps-wifi-4-port-1-wan-murah,ccwinta shop,tokopedia,In Stock,baru,Above,Please Check,155000,259000,0,259000,0.0167096774193548,0,0
10/22/2022,10/22/2022,TL WR840N,BEST SELLER TP-LINK Wireless Router TL-WR840N 300Mbps TERBAIK,https://tokopedia.com/brantaofficial/best-seller-tp-link-wireless-router-tl-wr840n-300mbps-terbaik,Branta Official,tokopedia,In Stock,baru,Above,Please Check,155000,245000,0,245000,0.0158064516129032,0,0
10/22/2022,10/22/2022,TL WR840N,DISKON Wireless Router Tp Link TL-WR840N WIFI Router 300Mbps Tp-Link,https://tokopedia.com/brantaofficial/diskon-wireless-router-tp-link-tl-wr840n-wifi-router-300mbps-tp-link,Branta Official,tokopedia,In Stock,baru,Above,Please Check,155000,263000,0,263000,0.0169677419354838,0,0
